Striped coloring (pre-computing COR Format),GH200,3d_27pt,512,512,512,3609741304,CG_noPreconditioning,vanilla_version_normi/norm0: 0.725953_CG iterations: 295_normi/norm0: 0.725953_CG iterations: 295_normi/norm0: 0.725953_CG iterations: 295_normi/norm0: 0.725953_CG iterations: 295_normi/norm0: 0.725953_CG iterations: 295_normi/norm0: 0.725953_CG iterations: 295_normi/norm0: 0.725953_CG iterations: 295_normi/norm0: 0.725953_CG iterations: 295_normi/norm0: 0.725953_CG iterations: 295_normi/norm0: 0.725953_CG iterations: 295
13620.4
13615.3
13623.3
13615.3
13620.3
13615.6
13619.7
13616.5
13623.3
13613.5
