Striped coloring (pre-computing COR Format),GH200,3d_27pt,64,64,64,6859000,SymGS,vanilla_version_normi/norm0: 0.254994_CG iterations: 41_normi/norm0: 0.254994_CG iterations: 41_normi/norm0: 0.254994_CG iterations: 41_normi/norm0: 0.254994_CG iterations: 41_normi/norm0: 0.254994_CG iterations: 41_normi/norm0: 0.254994_CG iterations: 41_normi/norm0: 0.254994_CG iterations: 41_normi/norm0: 0.254994_CG iterations: 41_normi/norm0: 0.254994_CG iterations: 41_normi/norm0: 0.254994_CG iterations: 41
97.2277
96.894
97.0639
96.9377
96.8776
97.0349
96.9115
96.9556
96.8711
96.9968
