Striped coloring (pre-computing COR Format),GH200,3d_27pt,128,128,128,55742968,CG,vanilla_version_normi/norm0: 0.417477_CG iterations: 78_normi/norm0: 0.417477_CG iterations: 78_normi/norm0: 0.417477_CG iterations: 78_normi/norm0: 0.417477_CG iterations: 78_normi/norm0: 0.417477_CG iterations: 78_normi/norm0: 0.417477_CG iterations: 78_normi/norm0: 0.417477_CG iterations: 78_normi/norm0: 0.417477_CG iterations: 78_normi/norm0: 0.417477_CG iterations: 78_normi/norm0: 0.417477_CG iterations: 78
6342.31
6352.86
6331.18
6337.41
6329.85
6343.34
6340.01
6326.93
6350.35
6364.7
