Striped coloring (pre-computing COR Format),A100,3d_27pt,128,64,64,13790200,CG_noPreconditioning,vanilla_version_normi/norm0: 0.295982_CG iterations: 54_normi/norm0: 0.295982_CG iterations: 54_normi/norm0: 0.295982_CG iterations: 54_normi/norm0: 0.295982_CG iterations: 54_normi/norm0: 0.295982_CG iterations: 54_normi/norm0: 0.295982_CG iterations: 54_normi/norm0: 0.295982_CG iterations: 54_normi/norm0: 0.295982_CG iterations: 54_normi/norm0: 0.295982_CG iterations: 54_normi/norm0: 0.295982_CG iterations: 54
49.6235
49.6008
49.2641
49.4589
49.3937
49.6115
49.8245
49.5544
49.4979
49.5954
